Zona,Plataforma,Precio_Promedio,Delivery_Fee_Promedio,Tiempo_Entrega_Promedio,Data_Points
premium,rappi,136.4,25.29,29.5,51
premium,uber_eats,140.51,17.84,25.5,48
premium,didi_food,129.28,17.8,32.5,47
middle_high,rappi,129.99,32.36,31.0,18
middle_high,uber_eats,124.09,26.77,27.0,15
middle_high,didi_food,122.3,19.84,35.0,22
middle,rappi,127.49,33.68,35.0,45
middle,uber_eats,114.3,25.32,30.0,45
middle,didi_food,113.96,23.02,39.0,46
business,rappi,128.22,22.43,31.0,16
business,uber_eats,124.58,15.99,27.0,10
business,didi_food,127.13,13.76,35.0,16
commercial,rappi,136.61,34.25,32.5,13
commercial,uber_eats,137.65,26.97,28.5,13
commercial,didi_food,119.67,25.33,36.5,16
popular,rappi,107.02,34.44,38.0,24
popular,uber_eats,102.81,32.67,33.0,19
popular,didi_food,99.51,19.93,42.5,22
peripheral,rappi,113.62,28.74,43.5,14
peripheral,uber_eats,103.53,23.18,37.5,23
peripheral,didi_food,102.48,22.47,48.5,19
university,rappi,115.75,26.62,35.0,14
university,uber_eats,112.62,28.33,30.0,13
university,didi_food,106.44,18.6,39.0,13
