Plataforma,Dirección,Zona,Tienda,Delivery_Fee,Service_Fee,Small_Order_Fee,Envío_Gratis
rappi,Polanco - Alto Ingreso,premium,McDonald's,37.09,18.86,,False
rappi,Polanco - Alto Ingreso,premium,Burger King,27.53,16.46,,False
rappi,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,19.92,23.99,,False
rappi,Condesa - Alto Ingreso,premium,McDonald's,31.66,14.06,,False
rappi,Condesa - Alto Ingreso,premium,Burger King,28.3,17.11,,False
rappi,Condesa - Alto Ingreso,premium,OXXO / Tienda de conveniencia,33.47,23.85,,False
rappi,Roma Norte - Alto Ingreso,premium,McDonald's,0.0,19.83,,True
rappi,Roma Norte - Alto Ingreso,premium,Burger King,22.73,24.12,,False
rappi,Roma Norte - Alto Ingreso,premium,OXXO / Tienda de conveniencia,27.92,13.44,,False
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,24.43,22.9,,False
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,Burger King,33.06,15.79,,False
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,OXXO / Tienda de conveniencia,16.89,19.61,,False
rappi,Lomas de Chapultepec - Alto Ingreso,premium,Burger King,26.86,13.15,,False
rappi,Lomas de Chapultepec - Alto Ingreso,premium,OXXO / Tienda de conveniencia,36.21,24.65,,False
rappi,Del Valle Centro - Clase Media Alta,middle_high,McDonald's,40.49,17.96,,False
rappi,Del Valle Centro - Clase Media Alta,middle_high,Burger King,21.1,20.83,,False
rappi,Narvarte - Clase Media,middle,McDonald's,44.85,21.46,,False
rappi,Narvarte - Clase Media,middle,Burger King,28.29,20.24,,False
rappi,Narvarte - Clase Media,middle,OXXO / Tienda de conveniencia,39.98,19.55,,False
rappi,Coyoacán Centro - Clase Media,middle,McDonald's,45.21,17.46,,False
rappi,Coyoacán Centro - Clase Media,middle,Burger King,24.62,17.84,,False
rappi,Tlalpan Centro - Clase Media,middle,McDonald's,24.94,12.93,,False
rappi,Tlalpan Centro - Clase Media,middle,Burger King,48.99,9.14,,False
rappi,Coapa - Clase Media,middle,McDonald's,48.87,13.54,,False
rappi,Coapa - Clase Media,middle,Burger King,42.7,20.04,,False
rappi,Coapa - Clase Media,middle,OXXO / Tienda de conveniencia,37.19,23.96,,False
rappi,Reforma - Zona de Oficinas,business,McDonald's,23.04,24.15,,False
rappi,Reforma - Zona de Oficinas,business,Burger King,35.15,11.06,,False
rappi,Reforma - Zona de Oficinas,business,OXXO / Tienda de conveniencia,23.08,23.19,,False
rappi,Insurgentes Sur - Zona de Oficinas,business,McDonald's,17.58,18.22,,False
rappi,Insurgentes Sur - Zona de Oficinas,business,Burger King,35.71,17.61,,False
rappi,Insurgentes Sur - Zona de Oficinas,business,OXXO / Tienda de conveniencia,0.0,10.69,,True
rappi,Centro Histórico,commercial,McDonald's,34.9,10.07,,False
rappi,Centro Histórico,commercial,Burger King,45.08,19.38,,False
rappi,Zona Rosa,commercial,McDonald's,24.39,24.96,,False
rappi,Zona Rosa,commercial,Burger King,33.49,18.4,,False
rappi,Zona Rosa,commercial,OXXO / Tienda de conveniencia,33.38,14.87,,False
