Plataforma,Dirección,Zona,Tienda,Producto,Product_ID,Precio,Precio_Original,Descuento_%,Encontrado,Disponible,Tiempo_Entrega,Rating
rappi,Polanco - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,92.69,102.99,10.0,True,True,21-38 min,3.9
rappi,Polanco - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,204.81,,,True,True,21-38 min,3.9
rappi,Polanco - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,144.75,,,True,True,21-38 min,3.9
rappi,Polanco - Alto Ingreso,premium,Burger King,Whopper,ff_04,119.64,,,True,True,21-38 min,3.9
rappi,Polanco - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,210.84,281.12,25.0,True,True,21-38 min,3.9
rappi,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,23.22,25.8,10.0,True,True,21-38 min,4.0
rappi,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,15.55,,,True,True,21-38 min,4.0
rappi,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,240.7,283.18,15.0,True,True,21-38 min,4.0
rappi,Condesa - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,134.03,,,True,True,21-38 min,4.3
rappi,Condesa - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,201.14,268.19,25.0,True,True,21-38 min,4.3
rappi,Condesa - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,133.5,,,True,True,21-38 min,4.3
rappi,Condesa - Alto Ingreso,premium,Burger King,Whopper,ff_04,119.71,,,True,True,21-38 min,4.1
rappi,Condesa - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,197.32,263.09,25.0,True,True,21-38 min,4.1
rappi,Condesa - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,37.09,,,True,True,21-38 min,4.8
rappi,Condesa - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,21.01,,,True,True,21-38 min,4.8
rappi,Condesa - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,364.07,,,True,True,21-38 min,4.8
rappi,Roma Norte - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,93.16,,,True,True,21-38 min,4.1
rappi,Roma Norte - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,165.15,,,True,True,21-38 min,4.1
rappi,Roma Norte - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,112.82,141.02,20.0,True,True,21-38 min,4.1
rappi,Roma Norte - Alto Ingreso,premium,Burger King,Whopper,ff_04,112.3,140.38,20.0,True,True,21-38 min,4.3
rappi,Roma Norte - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,201.27,251.59,20.0,True,True,21-38 min,4.3
rappi,Roma Norte - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,23.72,,,True,True,21-38 min,4.3
rappi,Roma Norte - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,20.37,27.16,25.0,True,True,21-38 min,4.3
rappi,Roma Norte - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,294.5,,,True,True,21-38 min,4.3
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,Big Mac,ff_01,136.94,171.17,20.0,True,True,21-38 min,4.5
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,Combo Mediano Big Mac,ff_02,193.65,,,True,True,21-38 min,4.5
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,McDonald's,McNuggets 10 piezas,ff_03,117.2,,,True,True,21-38 min,4.5
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,Burger King,Whopper,ff_04,130.14,,,True,True,21-38 min,3.9
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,Burger King,Combo Whopper Mediano,ff_05,182.38,,,True,True,21-38 min,3.9
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,22.15,,,True,True,21-38 min,4.8
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,15.45,20.6,25.0,True,True,21-38 min,4.8
rappi,Santa Fe - Alto Ingreso/Corporativo,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,370.44,,,True,True,21-38 min,4.8
rappi,Lomas de Chapultepec - Alto Ingreso,premium,Burger King,Whopper,ff_04,130.77,,,True,True,21-38 min,4.4
rappi,Lomas de Chapultepec - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,200.89,,,True,True,21-38 min,4.4
rappi,Lomas de Chapultepec - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,34.7,,,True,True,21-38 min,4.4
rappi,Lomas de Chapultepec - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,19.93,24.91,20.0,True,True,21-38 min,4.4
rappi,Lomas de Chapultepec - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,270.84,,,True,True,21-38 min,4.4
rappi,Del Valle Centro - Clase Media Alta,middle_high,McDonald's,Big Mac,ff_01,84.95,,,True,True,22-40 min,4.6
rappi,Del Valle Centro - Clase Media Alta,middle_high,McDonald's,Combo Mediano Big Mac,ff_02,194.7,,,True,True,22-40 min,4.6
rappi,Del Valle Centro - Clase Media Alta,middle_high,McDonald's,McNuggets 10 piezas,ff_03,111.99,,,True,True,22-40 min,4.6
rappi,Del Valle Centro - Clase Media Alta,middle_high,Burger King,Whopper,ff_04,108.71,135.89,20.0,True,True,22-40 min,4.3
rappi,Del Valle Centro - Clase Media Alta,middle_high,Burger King,Combo Whopper Mediano,ff_05,169.53,,,True,True,22-40 min,4.3
rappi,Narvarte - Clase Media,middle,McDonald's,Big Mac,ff_01,106.97,,,True,True,25-45 min,4.2
rappi,Narvarte - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,157.75,,,True,True,25-45 min,4.2
rappi,Narvarte - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,127.27,,,True,True,25-45 min,4.2
rappi,Narvarte - Clase Media,middle,Burger King,Whopper,ff_04,98.53,,,True,True,25-45 min,4.6
rappi,Narvarte - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,202.03,237.68,15.0,True,True,25-45 min,4.6
rappi,Narvarte - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,24.77,,,True,True,25-45 min,4.8
rappi,Narvarte - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,16.87,21.09,20.0,True,True,25-45 min,4.8
